SCEDTimestamp,RepeatedHourFlag,ElectricalBus,LMP
01/19/2016 09:55:12,N,0001,       16.52
01/19/2016 09:55:12,N,0001DUPV1_,       16.01
01/19/2016 09:55:12,N,0001HWFG1,       16.51
01/19/2016 09:55:12,N,0001VICTOR,       16.04
01/19/2016 09:55:12,N,0001_C,       16.62
01/19/2016 09:55:12,N,0001_EB,       16.24
01/19/2016 09:55:12,N,0002_EB,       16.24
01/19/2016 09:55:12,N,0003,       16.47
01/19/2016 09:55:12,N,0003EB,       16.48
01/19/2016 09:55:12,N,0003_EB,       16.24
01/19/2016 09:55:12,N,0004EB,       16.60
01/19/2016 09:55:12,N,0004_EB,       16.24
01/19/2016 09:55:12,N,0005,       16.60
01/19/2016 09:55:12,N,0006,       16.60
01/19/2016 09:55:12,N,0006EB,       16.47
01/19/2016 09:55:12,N,0006_EB,       16.48
01/19/2016 09:55:12,N,0007_EB,       16.24
01/19/2016 09:55:12,N,0008EB,       16.56
01/19/2016 09:55:12,N,0008_BUS1,       17.23
01/19/2016 09:55:12,N,0009EB,       16.30
01/19/2016 09:55:12,N,0009_EB,       16.48
01/19/2016 09:55:12,N,0009_EBUS,       16.24
01/19/2016 09:55:12,N,0010,       16.60
01/19/2016 09:55:12,N,0010EB,       16.48
01/19/2016 09:55:12,N,0010_EB,       16.24
01/19/2016 09:55:12,N,0011EB,       16.30
01/19/2016 09:55:12,N,0011_EB,       16.24
01/19/2016 09:55:12,N,0012_EB,       16.24
01/19/2016 09:55:12,N,0013EB,       16.30
01/19/2016 09:55:12,N,0013_EB,       16.24
01/19/2016 09:55:12,N,0014,       16.47
01/19/2016 09:55:12,N,0014_EB,       16.24
01/19/2016 09:55:12,N,0015,       16.47
01/19/2016 09:55:12,N,0015_EB,       16.52
01/19/2016 09:55:12,N,0016_EB,       16.24
01/19/2016 09:55:12,N,0023,       16.47
01/19/2016 09:55:12,N,0033,       16.47
01/19/2016 09:55:12,N,01,       16.50
01/19/2016 09:55:12,N,0100,       16.60
01/19/2016 09:55:12,N,0100_LD1,       16.52
01/19/2016 09:55:12,N,0101_EB,       16.24
01/19/2016 09:55:12,N,010EB,       16.56
01/19/2016 09:55:12,N,0110_EB,       16.24
01/19/2016 09:55:12,N,014,       16.47
01/19/2016 09:55:12,N,01J5SL_LD_,       16.30
01/19/2016 09:55:12,N,0200,       16.60
01/19/2016 09:55:12,N,0200_BUS01,       16.86
01/19/2016 09:55:12,N,0200_EB,       16.95
01/19/2016 09:55:12,N,0201,       16.58
01/19/2016 09:55:12,N,0202,       16.58
01/19/2016 09:55:12,N,0202_EB,       16.95
01/19/2016 09:55:12,N,0203,       16.58
01/19/2016 09:55:12,N,0204,       16.58
01/19/2016 09:55:12,N,020_EB,       16.24
01/19/2016 09:55:12,N,02J7SL_LD_,       16.30
01/19/2016 09:55:12,N,0300,       16.47
01/19/2016 09:55:12,N,0300_BUS02,       16.86
01/19/2016 09:55:12,N,0300_EB,       16.95
01/19/2016 09:55:12,N,0301,       16.69
01/19/2016 09:55:12,N,0302_EB,       16.95
01/19/2016 09:55:12,N,0451_EBB,       16.68
01/19/2016 09:55:12,N,0501,       16.48
01/19/2016 09:55:12,N,0600_EB,       16.52
01/19/2016 09:55:12,N,0801EB,       16.49
01/19/2016 09:55:12,N,08_EB,       16.24
01/19/2016 09:55:12,N,0950,       16.47
01/19/2016 09:55:12,N,0BB2,       16.47
01/19/2016 09:55:12,N,0BB3,       16.47
01/19/2016 09:55:12,N,0T2,       16.49
01/19/2016 09:55:12,N,1027EB,       16.53
01/19/2016 09:55:12,N,10_EB,       16.24
01/19/2016 09:55:12,N,10_EBUS,       16.52
01/19/2016 09:55:12,N,1101,       16.51
01/19/2016 09:55:12,N,1102,       16.51
01/19/2016 09:55:12,N,1103,       16.51
01/19/2016 09:55:12,N,1106,       16.51
01/19/2016 09:55:12,N,1121,       16.51
01/19/2016 09:55:12,N,1150,       16.47
01/19/2016 09:55:12,N,11_EB,       16.24
01/19/2016 09:55:12,N,120_EB,       16.24
01/19/2016 09:55:12,N,1226_EB,       16.48
01/19/2016 09:55:12,N,1230_EB,       16.48
01/19/2016 09:55:12,N,1234_EB,       16.48
01/19/2016 09:55:12,N,1238_EB,       16.48
01/19/2016 09:55:12,N,1242_EB,       16.48
01/19/2016 09:55:12,N,1246_EB,       16.48
01/19/2016 09:55:12,N,1250_EB,       16.48
01/19/2016 09:55:12,N,1255,       16.41
01/19/2016 09:55:12,N,1258_EB,       16.48
01/19/2016 09:55:12,N,1261_EB,       16.48
01/19/2016 09:55:12,N,1314_EB,       16.68
01/19/2016 09:55:12,N,1381_BUS2,       17.23
01/19/2016 09:55:12,N,1387EB,       16.53
01/19/2016 09:55:12,N,138A,       16.30
01/19/2016 09:55:12,N,138B,       16.30
01/19/2016 09:55:12,N,138KV,       16.58
01/19/2016 09:55:12,N,138KV_1,       16.60
01/19/2016 09:55:12,N,138KV_1_THOM,       16.22
01/19/2016 09:55:12,N,138KV_2,       16.60
01/19/2016 09:55:12,N,138KV_2_THOM,       16.22
01/19/2016 09:55:12,N,138_BUS1,       12.16
01/19/2016 09:55:12,N,138_BUS2,       16.59
01/19/2016 09:55:12,N,1397,       16.48
01/19/2016 09:55:12,N,1398,       16.48
01/19/2016 09:55:12,N,13_EB,       16.24
01/19/2016 09:55:12,N,1401,       16.48
01/19/2016 09:55:12,N,1404,       16.48
01/19/2016 09:55:12,N,15_EB,       16.24
01/19/2016 09:55:12,N,17034_EB_1,       16.48
01/19/2016 09:55:12,N,17_EB,       16.24
01/19/2016 09:55:12,N,19_EB,       16.24
01/19/2016 09:55:12,N,1J12SL_LD_,       16.30
01/19/2016 09:55:12,N,1_EB,       16.52
01/19/2016 09:55:12,N,1_EBUS,       16.52
01/19/2016 09:55:12,N,1_EB_,       16.24
01/19/2016 09:55:12,N,201_1,       16.59
01/19/2016 09:55:12,N,202_2,       16.59
01/19/2016 09:55:12,N,219HSL_LD1,       16.30
01/19/2016 09:55:12,N,222HSL_LD_,       16.30
01/19/2016 09:55:12,N,22_EB,       16.24
01/19/2016 09:55:12,N,248HSL_LD_,       16.30
01/19/2016 09:55:12,N,24_EB,       16.24
01/19/2016 09:55:12,N,2500_EB,       16.30
01/19/2016 09:55:12,N,251HSL_LD_,       16.30
01/19/2016 09:55:12,N,2641SL_LD_,       16.30
01/19/2016 09:55:12,N,265HSL_LD_,       16.30
01/19/2016 09:55:12,N,26_EB,       16.24
01/19/2016 09:55:12,N,293HSL_LD_,       16.30
01/19/2016 09:55:12,N,2J10SL_LD_,       16.30
01/19/2016 09:55:12,N,2_EB,      -33.84
01/19/2016 09:55:12,N,2_EBUS,       16.52
01/19/2016 09:55:12,N,2_ELB,       16.41
01/19/2016 09:55:12,N,302HSL_LD_,       16.30
01/19/2016 09:55:12,N,3111,       16.48
01/19/2016 09:55:12,N,3211,       16.48
01/19/2016 09:55:12,N,3251,       16.50
01/19/2016 09:55:12,N,345KV_1,       16.50
01/19/2016 09:55:12,N,345KV_2,       16.50
01/19/2016 09:55:12,N,345_2,       17.00
01/19/2016 09:55:12,N,36TH_2,       16.76
01/19/2016 09:55:12,N,36TH_3,       16.76
01/19/2016 09:55:12,N,3813_EB,       16.68
01/19/2016 09:55:12,N,3819,       16.48
01/19/2016 09:55:12,N,3_EBUS,       16.52
01/19/2016 09:55:12,N,401,       16.22
01/19/2016 09:55:12,N,4110,       16.48
01/19/2016 09:55:12,N,4171_1,       16.48
01/19/2016 09:55:12,N,4172_1,       16.48
01/19/2016 09:55:12,N,4210,       16.48
01/19/2016 09:55:12,N,4212,       16.48
01/19/2016 09:55:12,N,4271,       16.48
01/19/2016 09:55:12,N,4412,       16.48
01/19/2016 09:55:12,N,4432,       16.48
01/19/2016 09:55:12,N,4471,       16.48
01/19/2016 09:55:12,N,4536EB,       16.56
