RTDTimestamp,RepeatedHourFlag,IntervalId,IntervalEnding,IntervalRepeatedHourFlag,SettlementPoint,SettlementPointType,LMP
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,AEEC,RN,17.9
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,AMISTAD_ALL,RN,18.02
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,AMOCOOIL_CC1,LCCRN,18.05
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,AMOCOOIL_CC2,LCCRN,18.05
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,AMOCO_PUN1,PUN,18.05
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,AMOCO_PUN2,PUN,18.05
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,AMO_AMOCO_1,PCCRN,18.05
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,AMO_AMOCO_2,PCCRN,18.05
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,AMO_AMOCO_5,PCCRN,18.05
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,AMO_AMOCO_G1,PCCRN,18.05
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,AMO_AMOCO_G2,PCCRN,18.05
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,AMO_AMOCO_G3,PCCRN,18.05
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,AMO_AMOCO_S1,PCCRN,18.05
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,AMO_AMOCO_S2,PCCRN,18.05
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,ANACACHO_ANA,RN,18.04
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,ATK_ATKG345,RN,18.05
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,ATK_ATKINSG6,RN,18.05
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,ATK_ATKINSG7,RN,18.05
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,AUSTPL_ALL,RN,18.08
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,AZ_ALL,RN,18.05
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,BAC_RN_ALL,RN,18.05
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,BAFFIN_ALL,RN,18.06
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,BASTEN_CC1,LCCRN,18.08
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,BASTEN_CCU,PCCRN,18.08
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,BBSES_UNIT1,RN,17.96
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,BBSES_UNIT2,RN,17.96
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,BCATWD_WD_1,RN,17.86
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,BFM_HYD_ST1,RN,18.05
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,BLSMT1_5_A_6,RN,17.89
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,BORDAS_ALL,RN,18.06
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,BOSQUESW_CC1,LCCRN,14.92
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,BOSQUESW_CC2,LCCRN,14.99
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,BOSQ_BSQSU_5,PCCRN,14.99
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,BOSQ_BSQS_12,PCCRN,14.99
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,BOSQ_BSQS_34,PCCRN,14.92
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,BRAUNIG_CC1,LCCRN,18.06
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,BRAUNIG_VHB1,RN,18.06
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,BRAUNIG_VHB2,RN,18.06
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,BRAUNIG_VHB3,RN,18.06
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,BRAZ_WND_ALL,RN,17.91
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,BRA_AVR1_CT2,PCCRN,18.06
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,BRA_AVR_CST1,PCCRN,18.06
01/25/2016 08:55:01,N,1,01/25/2016 09:00:00,N,BRISCOE_WIND,RN,17.9
