settlementpoint,index
AEEC,1
AMISTAD_ALL,2
AMOCOOIL_CC1,3
AMOCOOIL_CC2,4
AMOCO_PUN1,5
AMOCO_PUN2,6
AMO_AMOCO_1,7
AMO_AMOCO_2,8
AMO_AMOCO_5,9
AMO_AMOCO_G1,10
AMO_AMOCO_G2,11
AMO_AMOCO_G3,12
AMO_AMOCO_S1,13
AMO_AMOCO_S2,14
ANACACHO_ANA,15
ATK_ATKG345,16
ATK_ATKINSG6,17
ATK_ATKINSG7,18
AUSTPL_ALL,19
AZ_ALL,20
BAC_RN_ALL,21
BAFFIN_ALL,22
BASTEN_CC1,23
BASTEN_CCU,24
BBSES_UNIT1,25
BBSES_UNIT2,26
BCATWD_WD_1,27
BFM_HYD_ST1,28
BLSMT1_5_A_6,29
BORDAS_ALL,30
BOSQUESW_CC1,31
BOSQUESW_CC2,32
BOSQ_BSQSU_5,33
BOSQ_BSQS_12,34
BOSQ_BSQS_34,35
BRAUNIG_CC1,36
BRAUNIG_VHB1,37
BRAUNIG_VHB2,38
BRAUNIG_VHB3,39
BRAZ_WND_ALL,40
BRA_AVR1_CT2,41
BRA_AVR_CST1,42
BRISCOE_WIND,43
BRTSW_BCW1,44
BR_VHB6CT5_6,45
BR_VHB6CT7_8,46
BSF_PUN1,47
BSF_PUN2,48
BTE_BTE_G1,49
BTE_BTE_G2,50
BTE_BTE_G3,51
BTE_BTE_G4,52
BTE_CC1,53
BTE_PUN1,54
BTE_PUN2,55
BUCHAN_ALL,56
BUFF_GAP_ALL,57
BULLCRK_1_2,58
BVE_CC1,59
BVE_UNIT1,60
BVE_UNIT2,61
BVE_UNIT3,62
BYU_BYU_1,63
BYU_BYU_12,64
BYU_BYU_34,65
BYU_BYU_G8,66
BYU_CC1,67
BYU_PUN1,68
BYU_PUN2,69
BYU_PUN3,70
BYU_PUN4,71
B_DAVIS_3,72
B_DAVIS_4,73
B_DAVIS_CC1,74
B_D_B_DAVIG1,75
B_D_B_DAVIG2,76
CALAVER_JKS1,77
CALAVER_JKS2,78
CALAVER_JTD1,79
CALAVER_JTD2,80
CALAVER_OWS1,81
CALAVER_OWS2,82
CALLAHA_WND1,83
CAL_ALL,84
CAL_CC1,85
CAL_PUN1,86
CAL_PUN2,87
CAMWIND_RN,88
CAPRIDG4_CR4,89
CAPRIDGE_ALL,90
CARBN_BSP_1,91
CBEC_ALL,92
CBEC_CC1,93
CBEC_CC2,94
CBY4_ALL,95
CBY4_CC1,96
CBY_CBY_G1,97
CBY_CBY_G2,98
CCEC_CC1,99
CCEC_GT1,100
CCEC_GT2,101
CCEC_PUN1,102
CCEC_PUN2,103
CCEC_ST1,104
CEDROHI_CHW1,105
CHEDPW_GT2,106
CHE_CC1,107
CHE_LYD,108
CHE_LYD2,109
CHE_PUN1,110
CHE_PUN2,111
COL_COLETOG1,112
COTTON_PAP2,113
CPSES_UNIT1,114
CPSES_UNIT2,115
CSC_CSECG1_2,116
CTL_CC1,117
CTL_GT_102,118
CTL_GT_103,119
CTL_GT_104,120
CTL_PUN1,121
CTL_PUN2,122
CTL_PUN3,123
CTL_ST_101,124
CVC_CC1,125
CVC_CVCG1_5,126
CVC_CVC_G2,127
CVC_CVC_G3,128
DANSBY_ALL,129
DC2SES_ALL,130
DC_E,131
DC_L,132
DC_N,133
DC_R,134
DC_S,135
DDPEC_CC1,136
DDPEC_GT1,137
DDPEC_GT2,138
DDPEC_GT3,139
DDPEC_GT4,140
DDPEC_GT6,141
DDPEC_ST1,142
DECKER_DPG1,143
DECKER_DPG2,144
DECKER_GT,145
DENISON_G1_2,146
DIB_CC1,147
DIB_DIB_G1,148
DIB_DIB_G2,149
DIB_DIB_G3,150
DIB_DIB_G4,151
DIB_PUN1,152
DIB_PUN2,153
DOWGEN_PUN1,154
DOWGEN_PUN2,155
DOWGEN_PUN3,156
DOW_61_2_63,157
DOW_64,158
DOW_81_2_84,159
DOW_G37_G35,160
DOW_G66_ST65,161
DOW_G67,162
DOW_G96_ST95,163
DUKE_CC1,164
DUKE_GST1CCU,165
DUKE_GT2_CCU,166
DUP_DUPV1_G1,167
DUP_PUN1,168
DUP_PUN2,169
DUP_PUN3,170
DUP_PUN4,171
ECLIPSE_UN1,172
ELB_ELBCREEK,173
ENAS_ENA1,174
ETCCS_CC1,175
ETCCS_CCU,176
EXGNSND_RN,177
EXGNWTL_1,178
EXN_14,179
EXN_1_3,180
EXN_4,181
EXN_8,182
EXN_9_13,183
EXN_PUN1,184
EXN_PUN2,185
EXN_PUN3,186
FAL_FALCONG1,187
FAL_FALCONG2,188
FAL_FALCONG3,189
FERGCC_CC1,190
FERGCC_GT1_1,191
FERGCC_GT2_3,192
FERGCC_ST1_5,193
FLCNS_CC1,194
FLCNS_UNIT1,195
FLCNS_UNIT2,196
FLCNS_UNIT3,197
FLTCK_SSI,198
FORMOSA_CC1,199
FORMOSA_PUN1,200
FORMOSA_PUN2,201
FO_FORMOSA11,202
FO_FORMOSA12,203
FO_FORMOSG1,204
FO_FORMOSG10,205
FO_FORMOSG2,206
FO_FORMOSG3,207
FO_FORMOSG4,208
FO_FORMOSG5,209
FO_FORMOSG6,210
FO_FORMOSG7,211
FO_FORMOSG8,212
FO_FORMOSG9,213
FPPYD_FPP_G1,214
FPPYD_FPP_G2,215
FPPYD_FPP_G3,216
FREC_1_CCU,217
FREC_2_CCU,218
FREC_CC1,219
FREC_CC2,220
FRNYPP_1_CCU,221
FRNYPP_2_CCU,222
FRNYPP_CC1,223
FRNYPP_CC2,224
FRONTERA_CC1,225
FRO_FRONTEG1,226
FRO_FRONTEG2,227
FRO_FRONTEG3,228
FTR_CC1,229
FTR_FTR_G1_4,230
GBY_GBY_5,231
GBY_GT,232
GIB_GIB_CRG1,233
GID_GIDEONG1,234
GID_GIDEONG2,235
GID_GIDEONG3,236
GOA_GOATWIND,237
GPASTURE_ALL,238
GRANDVW1_A_B,239
GRSES_UNIT1,240
GRSES_UNIT2,241
GUADG_CC1,242
GUADG_CC2,243
GUADG_CCU1,244
GUADG_CCU2,245
GWEC_G1,246
HAYSEN1_2,247
HAYSEN3_4,248
HB_BUSAVG,249
HB_HOUSTON,250
HB_HUBAVG,251
HB_NORTH,252
HB_SOUTH,253
HB_WEST,254
HELIOS_RN,255
HHGT_KENDAL,256
HHOLLW2_WND1,257
HHOLLW3_WND1,258
HHOLLW4_WND1,259
HLSES_UNIT3,260
HLSES_UNIT4,261
HLSES_UNIT5,262
HOVEY_UNIT1,263
HRFDWIND_ALL,264
HWF_HWFG1,265
H_HOLLO_WND1,266
INDN_INDNNWP,267
IND_INADALE1,268
INGLCOSW_CC1,269
INGLCOSW_STG,270
INGLCOS_CTG1,271
INGLCOS_CTG2,272
INGLCO_PUN1,273
INGLCO_PUN2,274
INGLCO_PUN3,275
INKS_INKS_G1,276
IN_INDNENR,277
IN_INDNENR_2,278
JACKCNTY_CC1,279
JACKCNTY_CT1,280
JACKCNTY_CT2,281
JACKCNTY_STG,282
JCKCNTY2_CC1,283
JCKCNTY2_CT3,284
JCKCNTY2_CT4,285
JCKCNTY2_ST2,286
KEECHI_U1,287
KEO_KEO_SM1,288
KING_KINGNE,289
KING_KINGNW,290
KING_KINGSE,291
KING_KINGSW,292
KMCHI_CC1,293
KMCHI_CC2,294
LARDVFTN_G4,295
LARDVFTN_G5,296
LEG_LEG_G1,297
LEG_LEG_G2,298
LEONLCPCT1_2,299
LEONLCPCT3_4,300
LFBIO_UNIT1,301
LGD_LANGFORD,302
LGE_CC1,303
LGE_LGE_GT1,304
LGE_LGE_GT2,305
LGE_LGE_STG,306
LGE_PUN1,307
LGE_PUN2,308
LGW_UNIT_ALL,309
LHM_CVC_G4,310
LHM_PUN1,311
LHM_PUN2,312
LHORN_N_U1_2,313
LHSES_UNIT1,314
LHSES_UNIT2,315
LNCRK_ALL,316
LONEWOLF_ALL,317
LOSTPI_CC1,318
LOS_LOSTPGT1,319
LOS_LOSTPGT2,320
LOS_LOSTPST1,321
LPCCS_CC1,322
LPCCS_CC2,323
LPCCS_CT11,324
LPCCS_CT12,325
LPCCS_CT21,326
LPCCS_CT22,327
LPCCS_UNIT1,328
LPCCS_UNIT2,329
LV1A_LV1B,330
LV3_RN,331
LV5_UNIT1,332
LZ_AEN,333
LZ_CPS,334
LZ_HOUSTON,335
LZ_LCRA,336
LZ_NORTH,337
LZ_RAYBN,338
LZ_SOUTH,339
LZ_WEST,340
MARBFA,341
MAR_MARSFOG1,342
MAR_MARSFOG2,343
MAR_MARSFOG3,344
MCDLD_FCSBW1,345
MCSES_UNIT6,346
MCSES_UNIT7,347
MCSES_UNIT8,348
MDANP_CT1_2,349
MDANP_CT3_4,350
MDANP_CT5_6,351
MESQCRK_ALL,352
MGSES_CT123,353
MGSES_CT456,354
MIAM1_G1_G2,355
MIL_MILG1_2,356
MIL_MILG345,357
MLSES_UNIT1,358
MLSES_UNIT2,359
MLSES_UNIT3,360
